Elo	Username	W	L	T	Last update
2266.2722277570424	PAC-MM-SynRLV2-2	8684	1085	47	Sun Jul 20 2025 21:26:27 GMT+0000 (Coordinated Universal Time)
2081.53800863036	PAC-MM-SynRLV1-2	6368	3349	69	Sun Jul 20 2025 21:27:19 GMT+0000 (Coordinated Universal Time)
2030.2854792928958	PAC-MM-SynRLV1-SP2	6868	2849	64	Sun Jul 20 2025 21:27:21 GMT+0000 (Coordinated Universal Time)
2020.2764575584492	PAC-MM-SynRLV0-2	5757	3929	88	Sun Jul 20 2025 21:30:32 GMT+0000 (Coordinated Universal Time)
1903.244628695884	PAC-MM-SILFA-2	4945	4709	74	Sun Jul 20 2025 21:26:45 GMT+0000 (Coordinated Universal Time)
1899.5478518484788	PAC-MM-LargeRL-2	5331	4376	111	Sun Jul 20 2025 21:30:03 GMT+0000 (Coordinated Universal Time)
1886.8534039504545	PAC-MM-SmallRLG9-2	5269	4458	43	Sun Jul 20 2025 21:27:19 GMT+0000 (Coordinated Universal Time)
1854.6075182776217	PAC-MM-BaseRNN-2	2935	2867	77	Sun Jul 20 2025 21:16:09 GMT+0000 (Coordinated Universal Time)
1791.5707650355266	PAC-MM-SmallIL-2	3677	6004	103	Sun Jul 20 2025 21:21:39 GMT+0000 (Coordinated Universal Time)
1767.880669876648	PAC-BH-Kaizo-2	2826	4819	130	Sun Jul 20 2025 21:29:58 GMT+0000 (Coordinated Universal Time)
1649.1157887144334	PAC-BH-SSwitch-2	2708	5427	245	Sun Jul 20 2025 21:30:32 GMT+0000 (Coordinated Universal Time)
1647.7236645284088	PAC-BH-GymLeader-2	2465	5624	253	Sun Jul 20 2025 21:11:15 GMT+0000 (Coordinated Universal Time)
1642.7290803989931	PAC-BH-PokeEnv-2	2930	5121	225	Sun Jul 20 2025 21:29:25 GMT+0000 (Coordinated Universal Time)
1442.2448871613467	PAC-BH-G1Boss-2	787	6933	111	Sun Jul 20 2025 21:28:54 GMT+0000 (Coordinated Universal Time)
