Elo	Username	W	L	T	Glicko	Rating_Deviation	GXE	Games_Played	Last_update	H2H_Data
2421.4906976827674	PAC-MM-SynRLV2-3	32621	7104	119	1842.6	23.5	78.88	39844	Mon Oct 06 2025 14:19:43 GMT+0000 (Coordinated Universal Time)	{"pacmmlargerlg3":{"w":3062,"l":694,"t":10},"pacmmsmallil3":{"w":3023,"l":346,"t":5},"pacmmsynrlv03":{"w":3027,"l":1077,"t":7},"pacbhsswitch3":{"w":1464,"l":96,"t":11},"pacmmbasernn3":{"w":1313,"l":160,"t":2},"pacbhgymleader3":{"w":1511,"l":107,"t":13},"pacbhkaizo3":{"w":1464,"l":134,"t":4},"pacmmsmallrlg93":{"w":2850,"l":782,"t":5},"pacmmabrag3":{"w":3016,"l":1034,"t":14},"pacmmsilfa3":{"w":3047,"l":547,"t":14},"pacbhg1boss3":{"w":1478,"l":36,"t":2},"pacmmsynrlv1sp3":{"w":2899,"l":1039,"t":14},"pacmmsynrlv13":{"w":2978,"l":918,"t":3},"pacbhpokeenv3":{"w":1489,"l":134,"t":15}}
2272.7632714239626	PAC-MM-Abra-g3	25364	15896	123	1672.1	23	65.97	41383	Mon Oct 06 2025 14:19:43 GMT+0000 (Coordinated Universal Time)	{"pacmmsilfa3":{"w":2406,"l":1355,"t":19},"pacbhg1boss3":{"w":1412,"l":76,"t":5},"pacmmbasernn3":{"w":1046,"l":435,"t":5},"pacmmsynrlv03":{"w":2026,"l":2130,"t":10},"pacmmsmallrlg93":{"w":2508,"l":1849,"t":7},"pacmmsynrlv13":{"w":2173,"l":1684,"t":4},"pacbhkaizo3":{"w":1329,"l":221,"t":5},"pacbhpokeenv3":{"w":1469,"l":207,"t":6},"pacbhgymleader3":{"w":1458,"l":159,"t":6},"pacbhsswitch3":{"w":1469,"l":219,"t":7},"pacmmsynrlv1sp3":{"w":1976,"l":1945,"t":11},"pacmmsynrlv23":{"w":1034,"l":3016,"t":14},"pacmmlargerlg3":{"w":2301,"l":1598,"t":12},"pacmmsmallil3":{"w":2757,"l":1002,"t":12}}
2190.8697904917367	PAC-MM-SmallRLG9-3	23254	18775	112	1597.7	23	59.29	42141	Mon Oct 06 2025 14:19:53 GMT+0000 (Coordinated Universal Time)	{"pacmmsmallil3":{"w":2752,"l":1202,"t":16},"pacmmsynrlv13":{"w":1935,"l":2115,"t":9},"pacbhkaizo3":{"w":1322,"l":375,"t":1},"pacbhsswitch3":{"w":1462,"l":305,"t":8},"pacmmlargerlg3":{"w":2172,"l":1990,"t":8},"pacmmabrag3":{"w":1849,"l":2508,"t":7},"pacbhpokeenv3":{"w":1391,"l":300,"t":9},"pacmmsynrlv03":{"w":1573,"l":2318,"t":7},"pacmmsynrlv23":{"w":782,"l":2850,"t":5},"pacmmsynrlv1sp3":{"w":1618,"l":2060,"t":10},"pacmmsilfa3":{"w":2469,"l":1789,"t":13},"pacbhg1boss3":{"w":1427,"l":96,"t":6},"pacbhgymleader3":{"w":1334,"l":265,"t":8},"pacmmbasernn3":{"w":1168,"l":602,"t":5}}
2190.40118664124	PAC-MM-SynRLV0-3	25306	15877	145	1614.4	23	60.83	41328	Mon Oct 06 2025 14:19:53 GMT+0000 (Coordinated Universal Time)	{"pacmmsynrlv1sp3":{"w":2105,"l":2055,"t":9},"pacmmlargerlg3":{"w":2458,"l":1594,"t":19},"pacmmsynrlv23":{"w":1077,"l":3027,"t":7},"pacmmsmallil3":{"w":2685,"l":906,"t":11},"pacbhgymleader3":{"w":1476,"l":186,"t":9},"pacbhkaizo3":{"w":1308,"l":246,"t":4},"pacmmabrag3":{"w":2130,"l":2026,"t":10},"pacmmsynrlv13":{"w":2283,"l":1965,"t":17},"pacmmsmallrlg93":{"w":2318,"l":1573,"t":7},"pacbhpokeenv3":{"w":1405,"l":240,"t":8},"pacmmbasernn3":{"w":1045,"l":458,"t":9},"pacmmsilfa3":{"w":2228,"l":1233,"t":18},"pacbhg1boss3":{"w":1405,"l":103,"t":1},"pacbhsswitch3":{"w":1383,"l":265,"t":16}}
2189.0344578382364	PAC-MM-SynRLV1-SP3	24316	15798	140	1638.8	23	63.04	40254	Mon Oct 06 2025 13:58:25 GMT+0000 (Coordinated Universal Time)	{"pacmmsynrlv03":{"w":2055,"l":2105,"t":9},"pacmmsynrlv13":{"w":2223,"l":1888,"t":10},"pacmmsmallil3":{"w":2495,"l":894,"t":12},"pacbhgymleader3":{"w":1414,"l":227,"t":15},"pacmmabrag3":{"w":1945,"l":1976,"t":11},"pacmmsmallrlg93":{"w":2060,"l":1618,"t":10},"pacbhpokeenv3":{"w":1325,"l":268,"t":16},"pacmmbasernn3":{"w":1085,"l":446,"t":3},"pacbhg1boss3":{"w":1438,"l":82,"t":5},"pacmmsilfa3":{"w":2417,"l":1289,"t":15},"pacmmsynrlv23":{"w":1039,"l":2899,"t":14},"pacmmlargerlg3":{"w":2217,"l":1547,"t":11},"pacbhkaizo3":{"w":1237,"l":300,"t":3},"pacbhsswitch3":{"w":1366,"l":259,"t":6}}
2094.475098196678	PAC-MM-SynRLV1-3	23687	17538	141	1582.9	23	57.91	41366	Mon Oct 06 2025 14:20:15 GMT+0000 (Coordinated Universal Time)	{"pacmmsmallrlg93":{"w":2115,"l":1935,"t":9},"pacmmsynrlv1sp3":{"w":1888,"l":2223,"t":10},"pacbhgymleader3":{"w":1417,"l":232,"t":11},"pacmmsynrlv03":{"w":1965,"l":2283,"t":17},"pacmmabrag3":{"w":1684,"l":2173,"t":4},"pacbhg1boss3":{"w":1416,"l":114,"t":9},"pacmmbasernn3":{"w":1097,"l":444,"t":10},"pacmmlargerlg3":{"w":2288,"l":1816,"t":13},"pacbhsswitch3":{"w":1364,"l":279,"t":12},"pacmmsilfa3":{"w":2322,"l":1443,"t":19},"pacbhkaizo3":{"w":1318,"l":309,"t":4},"pacbhpokeenv3":{"w":1409,"l":298,"t":11},"pacmmsmallil3":{"w":2486,"l":1011,"t":9},"pacmmsynrlv23":{"w":918,"l":2978,"t":3}}
2091.4193843468533	PAC-MM-LargeRL-g3	21848	19397	158	1543.9	23	54.21	41403	Mon Oct 06 2025 14:20:07 GMT+0000 (Coordinated Universal Time)	{"pacmmsynrlv23":{"w":694,"l":3062,"t":10},"pacmmsynrlv03":{"w":1594,"l":2458,"t":19},"pacbhsswitch3":{"w":1411,"l":326,"t":11},"pacbhgymleader3":{"w":1447,"l":289,"t":14},"pacmmsmallrlg93":{"w":1990,"l":2172,"t":8},"pacmmbasernn3":{"w":1030,"l":617,"t":10},"pacbhg1boss3":{"w":1363,"l":142,"t":3},"pacmmsynrlv13":{"w":1816,"l":2288,"t":13},"pacmmsilfa3":{"w":2141,"l":1613,"t":15},"pacmmabrag3":{"w":1598,"l":2301,"t":12},"pacmmsynrlv1sp3":{"w":1547,"l":2217,"t":11},"pacbhkaizo3":{"w":1262,"l":380,"t":6},"pacbhpokeenv3":{"w":1394,"l":321,"t":16},"pacmmsmallil3":{"w":2561,"l":1211,"t":10}}
2060.961022022397	PAC-MM-BaseRNN-3	10916	11926	273	1478.3	23	47.91	23115	Mon Oct 06 2025 14:20:07 GMT+0000 (Coordinated Universal Time)	{"pacbhpokeenv3":{"w":1201,"l":469,"t":48},"pacbhgymleader3":{"w":1287,"l":476,"t":53},"pacmmsynrlv23":{"w":160,"l":1313,"t":2},"pacmmabrag3":{"w":435,"l":1046,"t":5},"pacbhsswitch3":{"w":1191,"l":487,"t":46},"pacmmlargerlg3":{"w":617,"l":1030,"t":10},"pacmmsynrlv13":{"w":444,"l":1097,"t":10},"pacbhkaizo3":{"w":1193,"l":598,"t":33},"pacbhg1boss3":{"w":1221,"l":261,"t":30},"pacmmsilfa3":{"w":708,"l":1013,"t":12},"pacmmsynrlv1sp3":{"w":446,"l":1085,"t":3},"pacmmsynrlv03":{"w":458,"l":1045,"t":9},"pacmmsmallrlg93":{"w":602,"l":1168,"t":5},"pacmmsmallil3":{"w":953,"l":838,"t":7}}
2030.8009048918418	PAC-MM-SILFA-3	19926	21341	223	1521.3	23	52.05	41490	Mon Oct 06 2025 14:20:15 GMT+0000 (Coordinated Universal Time)	{"pacmmabrag3":{"w":1355,"l":2406,"t":19},"pacbhsswitch3":{"w":1369,"l":401,"t":15},"pacbhpokeenv3":{"w":1428,"l":434,"t":18},"pacbhg1boss3":{"w":1435,"l":222,"t":9},"pacbhkaizo3":{"w":1429,"l":512,"t":7},"pacmmsmallil3":{"w":2522,"l":1706,"t":27},"pacmmsynrlv23":{"w":547,"l":3047,"t":14},"pacmmbasernn3":{"w":1013,"l":708,"t":12},"pacmmsynrlv13":{"w":1443,"l":2322,"t":19},"pacmmsmallrlg93":{"w":1789,"l":2469,"t":13},"pacmmlargerlg3":{"w":1613,"l":2141,"t":15},"pacmmsynrlv1sp3":{"w":1289,"l":2417,"t":15},"pacbhgymleader3":{"w":1461,"l":328,"t":22},"pacmmsynrlv03":{"w":1233,"l":2228,"t":18}}
1952.798583536677	PAC-MM-SmallIL-3	16512	25449	228	1420.7	23	42.43	42189	Mon Oct 06 2025 14:20:12 GMT+0000 (Coordinated Universal Time)	{"pacmmsmallrlg93":{"w":1202,"l":2752,"t":16},"pacmmsynrlv23":{"w":346,"l":3023,"t":5},"pacbhpokeenv3":{"w":1469,"l":714,"t":32},"pacmmsynrlv03":{"w":906,"l":2685,"t":11},"pacmmsynrlv1sp3":{"w":894,"l":2495,"t":12},"pacmmsilfa3":{"w":1706,"l":2522,"t":27},"pacbhsswitch3":{"w":1501,"l":706,"t":23},"pacbhkaizo3":{"w":1345,"l":769,"t":12},"pacbhg1boss3":{"w":1510,"l":407,"t":10},"pacmmsynrlv13":{"w":1011,"l":2486,"t":9},"pacbhgymleader3":{"w":1571,"l":619,"t":42},"pacmmbasernn3":{"w":838,"l":953,"t":7},"pacmmabrag3":{"w":1002,"l":2757,"t":12},"pacmmlargerlg3":{"w":1211,"l":2561,"t":10}}
